IATA_Code,Airport,City
YWG,Winnipeg James Armstrong Richardson International Airport,Winnipeg
YWH,Victoria Inner Harbour Airport,Victoria
YWJ,Deline,
YWK,Wabush Airport,
YWL,Williams Lake Airport,
YWM,Williams Harbour,
YWN,Winisk,Hearst
YWO,Lupin,Kugluktuk
YWP,Webequie,Greenstone
YWQ,Chute-Des-Passes,Pont Rouge
YWR,White River,
YWS,Whistler,
YWY,Wrigley,
YXC,Canadian Rockies International Airport,Cranbrook
YXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton
YXE,Saskatoon International Airport,Saskatoon
YXF,Snake River,
YXH,Medicine Hat Regional Airport,Medicine Hat
YXI,Killaloe,Petawawa
YXJ,North Peace Regional Airport,
YXK,Rimouski,Rimouski
YXL,Sioux Lookout Airport,Dryden
YXN,Whale Cove,
YXP,Pangnirtung Airport,Pangnirtung
YXQ,Beaver Creek,Tok
YXR,Earlton,Englehart
YXS,Prince George Airport,Prince George
YXT,Northwest Regional Airport,
YXU,London International Airport,Dorchester
YXX,Abbotsford Airport,Sumas
YXY,Whitehorse Airport,
YXZ,Wawa Airport,Hornepayne
YYA,Big Bay Yacht Club,Whistler
YYB,Jack Garland Airport,North Bay
YYC,Calgary International Airport,Calgary
YYD,Smithers Airport,Smithers
YYE,Northern Rockies Regional Airport,Fort Nelson
YYF,Penticton Airport,Penticton
YYG,Charlottetown Airport,Charlottetown
YYH,Taloyoak,Gjoa Haven
YYI,Rivers,Rivers
YYJ,Victoria International Airport,North Saanich
YYL,Lynn Lake,
YYM,Cowley,Pincher Creek
YYN,Swift Current,Swift Current
YYQ,Churchill Airport,
YYR,Goose Bay Airport,Happy Valley-Goose Bay
YYT,St. John's International Airport,Torbay
YYU,Kapuskasing Airport,
YYW,Armstrong,Thunder Bay
YYY,Mont Joli Airport,Mont-Joli
YYZ,Pearson International Airport,Etobicoke
YZA,Ashcroft,Ashcroft
YZC,Beatton River,Fort St. John
YZE,Gore Bay,Elliot Lake
YZF,Yellowknife Airport,Yellowknife
YZG,Salluit,Iqaluit
YZH,Slave Lake,Slave Lake
YZM,Buchans,Deer Lake
YZP,Sandspit Airport,
YZR,Sarnia Airport,Sarnia
YZS,Coral Harbour Airport,Rankin Inlet
YZT,Port Hardy Airport,
YZU,Whitecourt,Whitecourt
YZV,Sept-Iles Airport,Sept-Iles
YZW,Teslin,
YZX,Greenwood,
YZY,Zhangye Ganzhou Airport,Dongle
YZZ,Trail Regional Airport,Fruitvale
ZAA,Alice Arm,Terrace
ZAC,York Landing,
ZAD,Zadar Airport,Galovac
ZAG,Zagreb International Airport,Micevec
ZAH,Zahedan Airport,Zahedan
ZAJ,Zaranj,Zaranj
ZAL,Pichoy Airport,Valdivia
ZAM,Zamboanga International Airport,Zamboanga
ZAO,Laberandie,Cahors
ZAR,Zaria,Zaria
ZAT,Zhaotong Airport,Zhaotong
ZAZ,Zaragoza Airport,Utebo
ZBE,Dolni Benesov,Zabreh
ZBF,Bathurst Airport,Bathurst
ZBK,Zabljak,Zabljak
ZBL,Biloela,Biloela
ZBM,Bromont,Granby
ZBO,Bowen,Bowen
ZBR,Chah-Bahar Airport,Konarak
ZBU,Aarhus Limo,
ZBY,Sayaboury,Sainyabuli
ZCL,La Calera Airport,Zacatecas
ZCO,La Araucanía International Airport,Temuco
ZDY,Delma Island Airport,
ZEC,Secunda,Deneysville
ZEG,Senggo,Eci
ZEL,Bella Bella Airport,
